,post,targetStereotype,targetMinority
458,All I want for Christmas is an absolute elimination of Islam in the western world.,"[""calls for elimination"", ""muslims have no place in the western world"", ""states does not beling in country""]","[""muslim folks""]"
463,"All girls have rape fantasies But they have to say no to rape, because if they say yes, it won’t be rape anymore","[""have rape fantasies"", ""want to be raped"", ""women lie"", ""women like to be raped"", ""women mean yes when they say no"", ""women secretly want to be raped""]","[""women""]"
464,All girls have rape fantasies. At least all the girls in the nursery I teach at.,"[""trivializes harm to victims.""]","[""assault victims""]"
465,"All of these school shootings in the news are really effecting me, I never thought I would let fame go to my head","[""trivializes harm to victims""]","[""mass shooting victims""]"
467,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews","[""all jews are bad people"", ""are selfish"", ""jewish people are stingy"", ""jews are greedy."", ""jews are money-grubbers"", ""jews only care about money.""]","[""jewish folks""]"
470,"All these chicks want wedding rings, but they be fucking on errthing","[""women are vain"", ""women cheat on their partners"", ""women will screw anything"", ""womens cheat""]","[""women""]"
471,"All theses hoes on me , they so phony &#128534;","[""women are fake"", ""women are hoes"", ""women are promiscuous"", ""women fake emotions""]","[""women""]"
473,All you muzzy lovers need to do one thing. Tell muzzies in the mideast to leave Israel alone. Don't start no shit won't be no shit. #Israel,"[""muslim folks are inferior \""muzzies\"""", ""muslim folks are instigators"", ""muslims are bad people"", ""muslims attack israel."", ""muslims don't deserve to exist"", ""muslims instigate conflicts."", ""muslims kill jewish people.""]","[""muslim folks""]"
479,"Also, I can't imagine anything more counterproductive than getting into fights with shit-tier niggers and other diversity when those aren't the people who have socially engineered the destruction of your homeland.","[""blacks are called the n word"", ""blacks have ruined america"", ""blacks like to fight"", ""refers to blacks with the n-word"", ""use of the n word""]","[""black folks""]"
488,Amazing how #labor &amp; #liberals point the finger at the independents for their failures for not getting on with the job of governing #pmlive,"[""are failures"", ""don't see their failures""]","[""liberals""]"
498,"An Asian woman just gave me a handjob while fingering my ass Which isnt what i meant when i asked her to give me a 'Hand Roll and Pork Intestines
That's the problem with having the Chinese Massage place right next to the Chinese takeout place","[""chinese women are sex workers."", ""chinese women don't understand english.""]","[""asian folks""]"
499,An alarm is like a nagging wife It won't stop until you hit it,"[""all women nag"", ""beating women is permissible."", ""ok to hit woem"", ""women are less than men"", ""women deserve to be beat"", ""women/wives are nags.""]","[""women""]"
515,"And then there 's Asiacourt , the once beautiful , safe , WHITE , area of Scarborough ... ( and the last i checked ) was a garbage infested Chinease outpost .","[""asian people are dirty"", ""asian people are inferior""]","[""asian folks""]"
518,"And when they're all PMSing at the same time LOL @FSenkiw I'm not sexist, but I can't work with 5 female managers at the same time anymore","[""act poorly when they have pms"", ""are all the same"", ""are difficult to work with"", ""have too much interpersonal drama"", ""women are emotional"", ""women are inferior to men""]","[""women""]"
519,"Anerican Dream We were talking about the american dream in class and the teacher said to a german boy if he had a german dream. He said ""We did but no-one liked it.""","[""all germans are nazis."", ""deserve to be made fun of"", ""germans are prejudiced."", ""trivializes harm to victims"", ""were victims of hitler""]","[""Germany"", ""Holocaust victims"", ""jewish folks""]"
520,Angela Spain was murdered in her home by a drifter negro .,"[""are murderers"", ""are negros"", ""black people are criminals"", ""black people are violent"", ""blacks are violent"", ""referring to blacks with negro""]","[""black folks""]"
521,Another advantage of being a female: getting by with your looks,"[""deserves to be made fun of"", ""use their looks to get what they want"", ""women are sluts"", ""women are stupid"", ""women can depend on their looks to help them through life""]","[""women""]"
530,Any nicca gettin it n da ass is a fag! &#8220;@CruellaDeTrill: Howw? Please explain this twitter logic. I'm confused. &#128553; @Im_Yung_Jay @YuTwatching&#8221;,"[""gay men have a sexual type"", ""gay men only do anal.""]","[""gay men""]"
531,"Any time a man tells you to make him a sandwich, imagine it as ""MAKE ME SANDWICH.  ME AM MAN. ME BEAT CHEST.""","[""are caveman like"", ""are sexist"", ""men are animals"", ""men are stupid""]","[""men""]"
533,"Anyone hate the fuckin moralfags dedicated to defending sluts no matter what
God, white knights should snort cyanide, I wonder if they realize the sluts still won't fuck them.","[""women are hoes"", ""women are only good for sex."", ""women are sluts"", ""women are teases."", ""women are whores."", ""women use sex to control men.""]","[""women""]"
541,Are there really that many gay people?!,"[""gay people are rare."", ""gay people are weird.""]","[""lesbian women, gay men""]"
542,Are you Sandy Hook? 'Cause I wanna shoot some kids inside you.,"[""belittles the crime and the victims families losses"", ""mass shootings are no big deal"", ""trivializes harm to victims"", ""women are sex objects"", ""women are to be shot with semen""]","[""mass shooting victims"", ""women""]"
546,"Are you guys tired of being lumped in with rich old white men in politics and in business, while you toil away and live from paycheck to paycheck?","[""poor white people are the same as rich white people."", ""poor white people don't struggle.""]","[""poor folks""]"
547,Are you really going to let a GIRL beat you?,"[""a female can't beat a real man at anything"", ""girls are weak"", ""girls should lose to boys"", ""it's humiliating to be bested by a woman"", ""it's shameful to be beaten by a girl"", ""women are weak""]","[""women""]"
548,Are you white but wanna be black? Just follow the Jews footsteps.,"[""are lesser humans"", ""are victims"", ""compares blacks and jews negatively"", ""holocaust"", ""not sure"", ""second class citizens""]","[""jewish folks""]"
558,Asian women hate their race so much they will literally date white supremacists,"[""asian women are racists"", ""asian women are self hating"", ""asian women only date white men"", ""asians don't like other asians"", ""asians dont find asian men attractive"", ""asians have low self esteem""]","[""asian folks""]"
568,At this point I will assume the media is lying about everything other than a Negro being arrested for his murder .,"[""are always in the news"", ""are negros"", ""black people are murderers"", ""black people are niggers"", ""black people don't get arrested when they commit crimes""]","[""black folks""]"
571,Awwww. What would you call The Flintstones if they were black???????...….. niggars.,"[""black folks are n-words"", ""black folks deserve derogatory terms"", ""black people are cartoonish"", ""black people are niggers"", ""black people were called niggers"", ""nigger is a derogatory term for black people""]","[""black folks""]"
575,"B.S., there would not be a race war because of Whites going out and shooting up non-White neighborhoods ; it is already open season on White Americans and White Europeans and White Australians and White Canadians .","[""blacks are killing white people"", ""minorities (blacks, latinos) are taking over the white population""]","[""black folks, latino/latina folks""]"
580,"BREAKING NEWS: Shooting at a New Mexico high school leaves three students dead and 15 injured...

LET US ALL GUESS!","[""trivializes harm to victims""]","[""mass shooting victims""]"
585,Baking was your major in college? Our Führer has the perfect job for you.,"[""referring to the ovens of the holocaust"", ""that is ok to harm jews"", ""trivializes harm to victims""]","[""Holocaust victims"", ""jewish folks""]"
599,Being colorblind has given You the Degenerate Fucked Up Country you've got Now.....If You like It.....Keep Doing what you're Doing !......Azzmador,"[""dumb"", ""hates whites""]","[""liberals""]"
601,Being tall is a good advantage for being taller It's also good if you wanna get shot easily.,"[""trivializes harm to victims""]","[""mass shooting victims""]"
