headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
Boris Johnson will have to raise his game to ensure climate targets are met,['the uk government is not doing enough currently to combat climate change'],['feel like they need more information to process this'],['read more'],2.0,real,misinfo,2020-12-05,theindependent,climate
White House is a 'toxic' environment now as Trump staffers plot their exits,['unknown intent'],['feel angry'],['learn more'],2.5,real,misinfo,2020-12-05,rawstory,climate
"Climate crisis could cause Caspian Sea to shrink, scientists warn",['the caspian sea could shrink due to covid'],['feel scared'],['read more'],3.5,real,misinfo,2020-12-23,theindependent,climate
Joe Biden would label countries like Brazil as 'climate outlaws' for failing to address 'climate change',"['brazil is an egregious contributor to global warming and destruction of the environment.', 'biden is overzealous about climate change issues.']",['feel concerned'],['see all countries address the growing climate change issue'],2.0,disagreement,misinfo,2020-11-13,climatedepot,climate
Sudden reversal of Australia's climate change policy ,"['different governments are becoming more aware how important climate change policies are', 'climate change will impact the entire world']",['feel interested'],['read more'],3.5,real,misinfo,2020-12-05,investmentwatchblog,climate
Joe Biden's Climate Czar Gina McCarthy Is A Far-Left Swamp Creature,"[""joe biden's climate czar gina mccarthy is a far left nutcase""]",['feel annoyed'],['ignore this'],2.0,disagreement,misinfo,2020-12-23,climatedepot,climate
"Putin: Arctic nature extremely vulnerable, environmental risks should be minimized",['russian president takes climate change seriously'],['feel shocked'],['stay informed'],3.0,real,misinfo,2020-12-05,tass,climate
Judge blasts US agency's 'sloppy' climate work in oil case,"['the agency should have done a better job', 'the company should have done a better job']",['feel like this is something others might want to know about'],['learn more'],3.25,real,misinfo,2020-11-13,washingtontimes,climate
MSNBC & Michael 'Hockey Stick' Mann Eager For Crippling Climate Regs,"[""msnbc & michael 'hockey stick' mann do not believe in climate change""]",['feel unsure'],['move on to the next thing'],2.5,disagreement,misinfo,2020-11-14,climatedepot,climate
Chemical injected in town's drinking water called 'an environmental injustice',['a town was being given chemicals unknowingly'],"['feel fear', 'feel afraid']","['stop drinking the water', 'not drink the tap water']",3.0,disagreement,misinfo,2020-11-15,rawstory,climate
Commentary: Ivy League Study Shows How U.S. Media Created a Climate of Fear Over COVID-19,['us is overreacting on covid issue.'],['feel concerned'],['not worry about covid 19'],3.5,real,misinfo,2020-12-06,thetennesseestar,climate
Environmental agency plans hydrofluorocarbon workshop,"['the agency believes this compound bears particular merit in studying', 'the environmental agency introduces some new measures to combat climate change.']",['feel excited'],['learn more'],3.5,real,misinfo,2020-12-06,washingtontimes,climate
"Don't Worry, the Fed Has a Plan to Tackle Climate Change!?!",['their is a plan to tackle climate change'],['feel like this is something others might want to know about'],['share the article'],3.5,real,misinfo,2020-12-23,investmentwatchblog,climate
"UK to have no more snow within decades due to global warming, Met Office warns",['there will be a drastic change in snowfall in the country in the foreseeable future.'],['feel worried'],['prepare'],3.5,real,misinfo,2020-12-07,thesun,climate
RICH LOWRY: Joe Biden's climate agenda is all about creating a crisis  not actually fixing one.,['government is hypocrite'],['feel like they need more information to process this'],['read more'],2.5,real,misinfo,2020-12-23,investmentwatchblog,climate
GOP Senators Urge Trump to Submit Iran Nuclear and Paris Climate Deals to Senate to Block Biden From Reentering Them,['trump is trying to prevent his opposition from making any meaningful policy changes'],['feel angry'],['vote against trump'],2.0,real,misinfo,2020-12-24,bonginoreport,climate
Harvard School of Public Health links Climate & COVID: 'The root causes of climate change also increase the risk of pandemics'  'We also need to take climate action to prevent the next pandemic',['climate change causes an increased risk of pandemics'],"['feel scared', 'feel worried']","['help protect the environment', 'reduce their environmental footprint']",2.5,real,misinfo,2020-12-24,climatedepot,climate
Environmental groups hail Covid relief bill  but more needs to be done,['legislators somehow addressed climate change concerns in their covid relief bill.'],['feel like they need more information to process this'],['read more'],2.5,real,misinfo,2020-12-24,theguardian,climate
Weather channel founder destroys the climate change narrative live on CNN,"['not everyone agrees on climate statistics.', 'some media corporations have different opinions on climate change.']","['feel misled', 'feel safe']",['not take actions against climate change'],3.5,disagreement,misinfo,2020-11-16,investmentwatchblog,climate
"Tye Calls for the Fed To Address Inequality, Climate Change, and More","['the agency has the power to address these issues', 'these issues are important and require addressing']",['feel interested'],['try to understand'],3.5,real,misinfo,2020-12-25,lewrockwell,climate
Jeff Bezos donates nearly $800m to groups fighting climate crisis,"['rich people can make a big difference against climate change', 'everyone is starting to realize we need to fight climate change']","['feel glad', 'feel annoyed']","[""note that it's a little hypocritical"", 'have all the billionaires donate to the crisis']",3.5,disagreement,misinfo,2020-11-16,theindependent,climate
Biden has massive climate plans. Where will he find the money to fund them? 'Intends to insert new money for climate plans in every department budget',"['while the president has plans to fight climate change, there is no money for it all']",['feel unsure'],['learn more'],2.0,disagreement,misinfo,2020-12-25,climatedepot,climate
Bezos Earth Fund gives nearly $800 million to climate groups in first round of grants,['unknown intent'],['feel happy'],['support ammazon'],3.5,real,misinfo,2020-11-17,rawstory,climate
Former aide: NY Gov. Cuomo's office was 'most toxic' work environment,['ny gov. cuomo is a toxic person'],['feel upset'],['read more'],3.5,real,misinfo,2020-12-07,sottnet,climate
"To Turn Fear to Action, We Must Confront the Emotions of the Climate Emergency","[""people are scared about climate change, but aren't taking action"", ""people want climate change action but don't know what they should do""]","['feel curious', 'feel optimistic']","['know more about what this entails', 'have a plan instead of just worrying']",3.5,real,misinfo,2020-12-07,truthout,climate
"Watch: John Stossel reviews Climate Hustle 2  Features clips of Hollywood hypocrisy, kids indoctrination & climate 'degrowth' movement",['people are moving away from focusing on climate change'],['feel unsure'],['move on to the next thing'],2.5,disagreement,misinfo,2020-11-17,climatedepot,climate
"In 'huge victory for polar bears and our climate,' court rejects Trump approval of offshore drilling project in Arctic","['government policies have a big impact on climate change.', 'offshore drilling can cause problems in the arctic.']","['feel happy', 'feel relieved']","['let political figures know how they feel', 'protect against offshore drilling']",3.5,real,misinfo,2020-12-08,rawstory,climate
Effects of Biden's Treasury regulating 'environmental risk' will likely be perverse',['biden policy will be perverse'],['feel interest'],['find out more'],2.5,disagreement,misinfo,2020-12-08,climatedepot,climate
Local Candidates Embrace Bolder Climate Policies as Federal Policy Has Faltered,['climate change is a popular talking point among politicians at all levels.'],['feel unsure'],['move on to the next thing'],2.5,real,misinfo,2020-12-26,truthout,climate
