post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
what 's the hardest part about being a muslim ? pilot school,"[""muslim folks""]",muslims are inferior,baseline,sbic,"Muslims are often stereotyped as being associated with terrorism or being viewed with suspicion in certain professions, such as pilot school",chatgpt,The stereotype that this sentence communicates is that Muslims are not able to fly,text-babbage-001,Muslims,flan-t5-base,"[""muslims are terrorists"", ""muslims are trained to kill"", ""muslims commit violent acts"", ""muslims use planes as weapons""]"
What’s the difference between an Indian Women and an Indian Cow ? Police will stop me from raping a cow ...,"[""Indian"", ""Indian women"", ""indians""]",This sentence communicates the stereotype that Indian men are rapists,text-davinci-002,sbic,Indian women and cows are a group of people,flan-t5-small,Indian women,flan-t5-base,are raped,baseline,"[""indian women are not valued as much as cows."", ""indian women are worth less than cows"", ""indians are okay with rape"", ""it's okay to rape indian women."", ""ok to raoe indian women"", ""they are less than animals""]"
Guys I have a question: when a gay couple gets married Who makes the sandwiches?,"[""gay men"", ""gays""]",gay,flan-t5-xxl,sbic,one has to be a woman,human,gay people are not as assertive,human,gay people are feminine,human,"[""gay people are feminine"", ""gay people are not as assertive"", ""one has to be a woman"", ""one has to feminine""]"
What's the difference between a black person and a chicken? One's free range,"[""black folks""]",black folks are all incarcerated,human,sbic,black people are inferior,human,black,flan-t5-large,"Black people are often stereotyped as being enslaved or oppressed, while chickens are seen as being raised for consumption or profit",chatgpt,"[""black folks are all criminals"", ""black folks are all incarcerated"", ""black people are inferior"", ""black people are slaves"", ""blacks are worthless""]"
"a muslim couple just got married it is working out well enough , but the husband will not let his wife drive for at least <number> years . one day the wife go 's up to him and asks why she must wait such a long time . he replies "" oh well , to get your drivers licence in this country you must be <number> years or older ""","[""arabic folks"", ""muslim folks"", ""women""]","The sentence communicates that in this country, Muslim women must wait a certain number of years before they are allowed to get their drivers licence",text-curie-001,sbic,The sentence communicates that the couple is old-fashioned and that they must be more than able to drive,text-ada-001,muslim,flan-t5-base,are culturally backwards,human,"[""are culturally backwards"", ""are pedophiles"", ""can't drive"", ""marry young"", ""marry young girls"", ""muslims have total control of their wives"", ""muslims marry underage girls"", ""women denied freedoms""]"
"College is only enjoyable if you're a woman
That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""women""]",women are sexual,flan-t5-xxl,sbic,women are sluts.,human,have many partners,human,have a lot of sex,human,"[""have a lot of sex"", ""have many partners"", ""women are sluts."", ""women don't take learning seriously.""]"
Surveying gender is easy because there's only male and female.,"[""trans women, trans men""]",The stereotype that this sentence communicates is that men are more aggressive than women,text-babbage-001,sbic,"""Gender is binary and there are only two options, male or female",chatgpt,"The stereotype that this sentence communicates is that men are stronger than women, and that this is true in both the physical and emotional areas",text-ada-001,The stereotype communicated by this sentence is that people in the group are easy to survey,text-davinci-001,"[""does not exist"", ""is not legitimate"", ""other genders don't exist"", ""there are only 2 genders"", ""trans people are either men or women, there are only two genders"", ""trans people don't really exist""]"
What’s black and spends most it’s life in jail? A black person,"[""black folks""]",Black people are often seen as criminals,text-babbage-001,sbic,Black people are criminals.,flan-ul2,This sentence communicates the stereotype that black people are criminals,text-davinci-002,The stereotype communicated by this sentence is that black people are more likely to spend their lives in jail,text-curie-001,"[""are in jail"", ""black folks are criminals"", ""black folks end up in prison"", ""black people are criminals"", ""black people should be jailed""]"
Tyrone be pissed cuz if Whitey mad dat means no mo Gibs and he haffa give up his sail foam.,"[""black folks""]",The stereotype communicated by this sentence is that black people are lazy and don't work hard,text-curie-001,sbic,African Americans are viewed as being dependent on government assistance,text-davinci-003,African American,flan-ul2,tyrone be pissed cuz if whitey mad dat means no mo gibs and he haffa give up his sail foam,flan-t5-xxl,"[""blacks are dependent"", ""blacks love free stuff""]"
How do you find a black man. In a white persons house.,"[""black folks""]",black folks are inferior,baseline,sbic,"I'm sorry, I cannot generate inappropriate or discriminatory content",chatgpt,The stereotype that this sentence communicates is that black men are criminals,text-babbage-001,black,flan-t5-base,"[""are second class citizens"", ""are still seen as slaves"", ""blacks are burglars"", ""blacks are criminals""]"
what 's the difference between feminists and hockey players ? hockey players shower after <number> periods .,"[""feminists"", ""women""]",women are a waste of time,baseline,sbic,Feminists are stereotyped as being unhygienic and not showering regularly,chatgpt,Feminists shower after every period,text-babbage-001,feminists,flan-t5-base,"[""feminists are dirty"", ""feminists don't shower"", ""women are gross."", ""women aren't hygenic.""]"
"A black man and a Mexican jump off the roof at the same time, who hits the ground first? Who cares?","[""black folks, latino/latina folks""]",People of color are viewed as interchangeable,text-davinci-003,sbic,are subhuman,human,[GROUP] are a group of people.,flan-t5-xl,black,flan-t5-large,"[""are subhuman"", ""are worthless"", ""promotes violences toward black folks"", ""promotes violences toward hispanic folks"", ""that blacks and mexican are not worth living"", ""that it is ok for blacks and mexicans to be hurt""]"
What do Muslims have in common with Darth Vader? They both offer you to come to the dark side before killing you,"[""muslim folks""]",This sentence communicates the stereotype that Muslims are violent and will kill you if you don't convert to their religion,text-davinci-002,sbic,Muslims,flan-t5-small,Muslims,flan-t5-base,muslims are evil,baseline,"[""all muslims are terrorists"", ""muslim's have no morals"", ""muslims are terrorists"", ""muslims are terrorists."", ""muslims are violent."", ""muslims kill people""]"
jesus is so elusive . <repeat> that even the romans thought he was hard to pin down .,"[""christian folks""]",The stereotype that Jesus is elusive is that he is hard to pin down,text-babbage-001,sbic,Christians are often portrayed as believing in a mysterious and enigmatic figure in Jesus,chatgpt,The stereotype that this sentence communicates is that the group is hard to please,text-ada-001,The stereotype communicated by this sentence is that people in general find Jesus difficult to find or understand,text-davinci-001,"[""christians love jesus"", ""it makes light of the crucifixion"", ""it marginalizes christianity as a whole"", ""jesus was king of the jews"", ""making fun of christian leaders demise"", ""poking fun at jesus' crucifiction""]"
