Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
"""Act Now on Climate Change",'biden is a climate change leader',biden cares about climate change and will do everything to address it immediately,text-davinci-003,baseline,human,mrf,"Biden Unveils His Climate Team, Promising To Fight 'With The Urgency It Demands'",real,"['biden cares about climate change and will do everything to address it immediately', 'government is ready to fight climate change']",,
congress wants to tackle climate change,Congress is Taking Action on Climate Change,'the climate change bill is a big step forward',human,text-davinci-003,baseline,mrf,Congress Takes Aim at Climate Change in Massive Relief Bill,real,"['congress wants to tackle climate change', 'congress has a massive relief bill for climate change', 'government is passing a bill that is designed to address global warming.']",,
'amazon is giving out almost $800M to fight climate change',"""Taking action on climate change is important",bezos cares about climate change,baseline,text-davinci-003,human,mrf,Amazon CEO Jeff Bezos is giving out almost $800M to 'fight climate change',misinfo,"['bezos cares about climate change', 'amazon ceo jeff bezos is giving millions to help fight climate change']",,
"The implied message is ""Adaptation is key",'climate change could benefit Russia',climate change is beneficial to some countries.,text-davinci-003,baseline,human,mrf,How climate change could benefit Russia,real,"['climate change is beneficial to some countries.', 'to russia there might be positive sides about climate change']",,
mask don't work,Masks don't work,,human,chatgpt,,mrf,"Researchers were forced to withdraw a ""pro-mask study"" after increase in SARS-CoV-2 cases in the areas that were originally analyzed in the study, showing that masks don't work",misinfo,"[""mask don't work"", ""masks don't prevent the spread of covid."", 'health authorities are lying.', ""masks don't reduce the spread of disease.""]",,
a deadly virus 10x more dangerous than covid was found,Take precautions seriously,'the virus is ten times more dangerous than the one in Wuhan',human,text-davinci-003,baseline,mrf,"New virus detected ten times more dangerous than the one in Wuhan, i.e. the coronavirus.",misinfo,"['a deadly virus 10x more dangerous than covid was found', 'there are worse viruses than covid.', 'death rates could be a lot higher']",,
The implied message is: Taking action on climate change is a priority,'biden introduces nominees for climate team',Climate change is a priority for the Biden administration,text-davinci-003,baseline,chatgpt,mrf,Biden introduces nominees for climate team,real,"['biden has started working on his climate plans', 'biden takes climate change seriously']",biden has started working on his climate plans,human
french schooner tara starts a mission to study climate change,"The implied message is ""Taking action on climate change is important",'the french schooner Tara sets sail on scientific mission to study climate change',human,text-davinci-003,baseline,mrf,French schooner Tara sets sail on scientific mission to study climate change,real,['french schooner tara starts a mission to study climate change'],,
brazilian government does not take covid-19 seriously,Restrictions are easing in Portugal,'the court in Portugal lifted the confinement in the country due to doubts of the PCR',human,text-davinci-003,baseline,mrf,A court in Portugal lifted the confinement in the country due to doubts of the PCR,misinfo,"['brazilian government does not take covid-19 seriously', 'pcr test is not trustworthy']",,
"""COVID-19 vaccines have side effects",pfizer vaccine causes severe side effects,,chatgpt,human,,mrf,Recipients of Pfizer and Moderna develop severe side effects.,misinfo,['pfizer vaccine causes severe side effects'],,
The implied message is: Take action on climate change now,nasa is active on climate issues,'nasa satellite to monitor sea level rise,text-davinci-003,human,baseline,mrf,"NASA satellite to monitor sea level rise, affects of climate change over next decade",real,['nasa is active on climate issues'],,
'the 'hollywood climate' is still a hotbed of sexual harassment,Some actions have consequences,"hollywood still has ""permissive climate""",baseline,text-davinci-003,human,mrf,"Study Says Hollywood Still Has 'Permissive Climate' of Sexual Harassment, Racism",misinfo,"['hollywood still has ""permissive climate""']",,
human beings will be controlled by covid-19 vaccines,RNA vaccines have dangerous consequences,,human,chatgpt,,mrf,"Covid-19 RNA-vaccines alter human DNA and the non-human DNA will turn humans into chimeras. Vaccines containing nanoparticles, which in turn act as antennas, will collect biometric data that will further be traded for cryptocurrency.",misinfo,['human beings will be controlled by covid-19 vaccines'],,
'the climate change movement is a sham',there is a link between racism and climate change denial,"""Not all opinions are equal",baseline,human,text-davinci-003,mrf,Winston84: A High-Minded Collection Of Low-Brow Racists and Climate Deniers,misinfo,['there is a link between racism and climate change denial'],,
'the pandemic is a plan organized by soros to reduce the size of the global population',soros has the resources to engineer a global pandemic,Conspiracy theory,baseline,human,text-davinci-003,mrf,The pandemic is a plan organized by George Soros to reduce the size of the global population,misinfo,"['soros has the resources to engineer a global pandemic', 'wealthy and powerful people have a vested interest in implementing population controls']",,
police is irresponsible.,"The implied message is: ""Justice is not always served",'home office unlawfully failing to protect trafficking survivors from hostile environment,human,text-davinci-003,baseline,mrf,"Home Office unlawfully failing to protect trafficking survivors from hostile environment, says High Court",misinfo,"['police is irresponsible.', 'trafficking survivors are not protected by home office']",,
"Covid crisis can be turned into an opportunity
430	['the need for believe to fight climate change']	Faith can help combat climate change",the pandemic is a great time to work on climate change.,,chatgpt,human,,mrf,The Covid pandemic is an unexpected chance to tackle the climate crisis  here's what we should do,misinfo,['the pandemic is a great time to work on climate change.'],,
fauci was trying to make masks seem more effective than they were,'dr. fauci lied about masks in march',Dr,human,baseline,text-davinci-003,mrf,Dr. Fauci lied about masks in March.,misinfo,"['fauci was trying to make masks seem more effective than they were', 'makes could be dangerous', ""the government official doesn't know what they are talking about""]",,
